time,func1,func2
0.5,0.648538,-1.005886493
0.75,0.603449,-1.149422798
1,0.588109,-1.173531956
1.1,0.588982,-1.174940801
1.2,0.593058,-1.175299415
1.3,0.599759,-1.175649104
1.4,0.608498,-1.176510194
1.5,0.618703,-1.178079784
1.75,0.647361,-1.184950622
2,0.675875,-1.19446491
2.25,0.700797,-1.204518348
2.5,0.720786,-1.213633755
2.75,0.735834,-1.22110027
3,0.746638,-1.226799314
3.25,0.754131,-1.230941154
3.5,0.7592,-1.233850271
3.75,0.762566,-1.23584283
4,0.764768,-1.237180768
4.25,0.766189,-1.238063343
4.5,0.767093,-1.238634994
4.75,0.767659,-1.238997849
5,0.768009,-1.239224944
