time,func1,func2
0.5,-0.357348493,0.2775
0.75,-0.545973798,-0.00497
1,-0.585422956,-0.170271
1.1,-0.585958801,-0.217094
1.2,-0.582241415,-0.256214
1.3,-0.575890104,-0.289106
1.4,-0.568012194,-0.316893
1.5,-0.559376784,-0.340443
1.75,-0.537589622,-0.384988
2,-0.51858991,-0.414728
2.25,-0.503721348,-0.434527
2.5,-0.492847755,-0.447599
2.75,-0.48526627,-0.456133
3,-0.480161314,-0.46164
3.25,-0.476810154,-0.465157
3.5,-0.474650271,-0.467385
3.75,-0.47327683,-0.468785
4,-0.472412768,-0.469659
4.25,-0.471874343,-0.470201
4.5,-0.471541994,-0.470535
4.75,-0.471338849,-0.470739
5,-0.471215944,-0.470862
