time,func1,func2
1,1,1
2,0.857585211,0.977601516
3,0.643850599,0.956200027
4,0.543593193,0.936572223
5,0.519671663,0.918946407
6,0.515166112,0.903213433
7,0.511912223,0.889399786
8,0.507742162,0.877057305
9,0.502138022,0.865976093
10,0.4951592,0.855844138
11,0.487644344,0.846324839
12,0.4795829,0.83752599
13,0.470665894,0.829063712
14,0.461773477,0.821004194
15,0.453972583,0.813258559
16,0.446872655,0.805739821
17,0.439923065,0.798550097
18,0.433232592,0.791566471
19,0.426847984,0.784730321
20,0.420904793,0.77808325
21,0.415797204,0.77157042
22,0.411858675,0.765258018
23,0.408589463,0.759038254
24,0.404333283,0.752992446
25,0.398712593,0.747122485
26,0.393380939,0.741330035
27,0.389106536,0.73556782
28,0.385639585,0.729881226
29,0.38282538,0.72433266
30,0.380170777,0.718912668
